timecode,duration(s),title,notes,script
00:00:00:00,0.02,Intro,The point of the video is to show how I learn how to do max out all medals on the challenge mode. You'll see my thought process and strategies I use,
00:00:06:59,0.02,Fuck it; we'll do it live,I'm going to be playing these challenges back to back unedited,
00:00:14:59,0.02,Note about live reaction,I was sick during this recording,
00:00:20:47,0.02,Experimenting,I was just experimenting to learn the value of different moves such as the GT and the shock wall,
00:00:28:33,0.02,Ground Pounds and Score,Ground pounds are the highest contributor to score in the game; but the take enemies off the board for generating further combo points,
00:01:05:25,0.02,Variation Bonus,Maxing out variation bonus is key to posting high scores,
00:01:09:27,0.02,Variation maxxing,That's why you can see I'm using all these unnecessary combos on single enemies,
00:01:20:18,0.02,Variation important,In Arkham Aslyum; the variation bonus contributes to a much higher percentage of your score than in the other games. Especially on maps with relatively small encounters like this one.,
00:01:25:12,0.02,Variation Falloff,Of course it falls off in later challenges such as Rumble in the Jungle extreme; where you're hitting combos of up to 60+. At that point your ground pounds and takedowns are most valuable,
00:02:07:20,0.02,Hit While Batclawing,I forgot to account for the fact that this nearest thug would hit me after the animation. He was standing right next to me so of course he was going to hit me.,
00:02:20:25,0.02,Mental List of Moves,I'm trying to keep a mental list of moves that I've already done so I know which ones I still need to do to get a 9x variation bonus,
00:02:36:19,0.02,Pipe Hitbox,This definitely looks like it should have cleared after the fact,
00:02:51:24,7.88,Cleared despite low performance,Despite my lack of ability to avoid attacks; maintain a combo; or even max out my variation bonus; I still manage to clear all three medals for this challenge first try. Demonstrates that these challenges are not unattainable,
00:03:03:38,17.27,Rebinds,I brought my bindings into parity with my AC bindings. That game lets you bind scroll wheel to batarng/batclaw in the launcher unlike AA. You have to go into the config to add it. The benefits are worthwhile as you can continue to pivot your camera and move while using your quickfire gadgets.,
00:03:27:15,10.00,Stealth Medals,In order to complete the Predator challenges; we need to takedown enemies with specific moves,
00:03:51:16,6.12,Explosive Gel Ceiling Spray,Make sure you turn away from the wall and point the camera up to avoid accidentally 
spraying the gel on the ground or the wall,
00:04:12:50,0.02,Wait for Patrols Sync,We just have to wait for the patrols to sync.,
00:04:16:01,0.02,Don't need 3 walls,Contrary to my previous understanding; you don't need 3 KOs with 3 walls. You can use two walls; which is the method I use now.,
00:04:46:35,0.02,Not the whole room is labbed,I don't have the whole challenge labbed out as you'll soon see. Only the setup with the three walls; which is now obsolete,
00:05:19:16,8.02,Silent Takedown,I was hoping to drop down behind that thug for a silent takedown,
00:05:47:17,0.02,Whoops,This is what I meant before about aiming upwards. You pretty much have to aim straight up in the air at a 90 degree.,
00:06:01:05,20.02,Forced to adapt,Now I'm basically forced to adopt a 3-for-2 weak wall setup since I missed my first gel. I wanted to challenge myself not to restart. This is probably where I discovered the setup,
00:06:22:59,5.92,Revenge!,I'm actually able to execute my ST this time,
00:06:30:21,13.60,LUCKY,I got lucky in that the thug got launched up here by the explosive gel. Setting me up for a takedown on the thug investigating his body,
00:06:44:58,7.02,Chain into final medal,I can chain this into the final medal by hitting the guy's buddy with a batarang first,
00:07:31:44,8.77,Coast Your Way to Victory,This means that you can feel free to mess up quite a bit and still clear 3 medals; as long as you make sure you to perform each move at least once per round.,
00:08:02:12,8.77,Careless,I wasn't watching this other guy close enough that I knocked back earlier. I don't notice that he's getting up before I've already committed to the GT,
00:08:12:46,21.50,Won't give up,My first instinct wasn't to restart because I'm trying to demonstrate that it's possible to clear three medals while making mistakes. Still embarassing to be hit in such simple ways though. Trying to give you the authentic experience! I'm clearly going to be short of the goal unless I play exactly perfectly,
00:08:43:50,5.02,GT Mistake,My mistake there was not scanning the area before committing to the GT,
00:08:50:00,7.47,Importance of Rhythm,It just demonstrates that even experienced players can make mistakes when knocked off their flow. It can be very difficult to get back into the rhythm of combat if you don't make a conscious effort to get out of the fight; take a second; and start on a new rhythm,
00:09:30:20,7.47,8x Variation Still Respectable But..,is still a decent amount but for 1 extra move it increase it by almost 50%. It is admittedly hard to budget for moves that insta-KO enemies like GT or SCT though,
00:09:49:02,5.02,Incorrect Guess,I failed to guess that the high sec henchman would attack first. If I had I would have reacted differently,
00:09:59:35,10.02,Buffering AR,You have to buffer your aerial redirect at least a half second in advance while you're not stuck in an animation to be able to dodge the high sec,
00:10:10:45,5.02,Sloppy,That was super sloppy all around,
00:10:28:00,6.02,Pausing,You can tell I visibly pause here while thinking what to do,
00:10:39:18,5.02,Baiting attacks,Baiting involves getting an enemy to commit to a position for his attack and then moving away.,
00:10:50:14,7.65,Stalling,What I mean by stalling is waiting for enemies to reset while I think about what I should do next. It's a good way to avoid dropping your combo if you're out of enemies to hit or can't think of what to do.,
00:11:17:35,11.57,Crowd Control,I've got a lot of dudes crowd controlled here with throw; strikes; counter; and ultra batclaw. The fewer dudes you have ready to attack you; the more predictable a situation is.,
00:11:32:17,5.62,Failure to Clear,I committed to a blind GT that I wasn't clear to do,
00:11:43:06,5.02,Marker 31,I didn't account for the projectile so I got hit and stun locked for a combo with the thug next to me,
00:11:49:03,6.17,Now Clear for GT,Now I'm clear for GT because I CC'd everyone first,
00:12:25:01,7.50,Reposition for Batclaw,I reposition so I can hit all three with the ultra batclaw  and also because you have a short window where enemies won't attack you after doing AR. Usually long enough for an AR,
00:12:33:16,10.02,Batarang Last Dude Doesn't KO,Unlike in the sequels; quick combo batarang doesn't instantly KO the last guy; only if his HP is low enough.,
00:13:30:38,5.02,Spacing,In general; spacing gives you a huge advantage to pull off risky maneuvers safely.,
00:13:55:09,2.95,Marker 32,Stalling real quick while I plan my next strategy,
00:14:02:03,7.77,Batclaw Targetting Error,I got hit because I was expecting the offending thing to be immobilized by the ultra batclaw,
00:14:11:48,7.72,Batarng into GT Last Guy,I can usually use quick batarang to setup a GT against the last guy unlike in later games,
00:14:20:26,5.02,I just Learned QB+GT On Last Guy,I just learned that quick batarang doesn't instantly KO the final guy,
00:14:56:05,11.68,Marker 34,I'm just waiting for a steep enough angle that will actually cause the henchman to be pulled over the railing instead of falling next to it,
00:15:14:39,5.02,Ledge Takedown,"I'm going to go for the ledge takedown on this guy",
00:15:38:18,2.93,Trailed Off,So I should reposition so I'm not caught off guard,
00:15:48:52,4.02,Get Trolled,I definitely got trolled by this collision but I manage to recover kinda,
00:15:56:41,8.35,Marker 35,Saved myself with a cape stun. When in doubt; use it to give yourself a little time to figure out how to react to the situation. Fleeing vs; fighting; vs eliminating. The other enemies in the room and their locations will determine which approach is most appropriate,
00:16:06:53,4.02,Marker 36,Sometimes thugs will look up at gargoyles when they are alert. If you are on top of one when this happens; they will detect you,
00:16:22:47,10.62,Railing Corner Takedown,I meant to say on the corner of the railing. Even though it's clearly not a solid surface; it still blocks you from enemy vision,
